sample_index,micros,ax,ay,az
308,2650581,34,46,4366
309,2650983,34,46,4366
310,2651377,-5,52,4339
311,2651772,-5,52,4339
312,2652173,-1,52,4312
313,2652581,-1,52,4312
314,2652984,-1,52,4312
315,2653391,18,22,4327
316,2653772,18,22,4327
317,2654166,11,29,4318
318,2654560,11,29,4318
319,2654964,11,29,4318
320,2655344,11,50,4378
321,2655740,11,50,4378
322,2656133,-3,54,4399
323,2656542,-3,54,4399
324,2656943,-3,54,4399
325,2657353,-7,57,4388
326,2657749,-7,57,4388
327,2658148,30,47,4388
328,2658544,30,47,4388
329,2658938,30,47,4388
330,2659335,42,50,4377
331,2659728,42,50,4377
332,2660116,30,64,4393
333,2660494,30,64,4393
334,2660867,30,64,4393
335,2661253,22,48,4354
336,2661647,22,48,4354
337,2662051,29,60,4369
338,2662431,29,60,4369
339,2662820,29,60,4369
340,2663203,30,74,4365
341,2663594,30,74,4365
342,2663984,30,74,4365
343,2664382,63,59,4349
344,2664763,63,59,4349
345,2665149,99,58,4333
346,2665533,99,58,4333
347,2665932,99,58,4333
348,2666329,52,45,4306
349,2666723,52,45,4306
350,2667117,46,45,4336
351,2667513,46,45,4336
352,2667900,46,45,4336
353,2668303,56,61,4379
354,2668697,56,61,4379
355,2669096,32,62,4371
356,2669478,32,62,4371
357,2669872,32,62,4371
358,2670261,52,54,4336
359,2670658,52,54,4336
360,2671053,39,51,4333
361,2671433,39,51,4333
362,2671824,39,51,4333
363,2672224,9,37,4334
364,2672617,9,37,4334
365,2673015,9,37,4334
366,2673401,45,52,4337
367,2673797,45,52,4337
368,2674191,69,72,4361
369,2674590,69,72,4361
370,2674988,69,72,4361
371,2675388,59,63,4389
372,2675769,59,63,4389
373,2676167,72,49,4379
374,2676558,72,49,4379
375,2676949,72,49,4379
376,2677330,66,42,4370
377,2677697,66,42,4370
378,2678079,13,40,4386
379,2678472,13,40,4386
380,2678854,13,40,4386
381,2679254,4,47,4385
382,2679647,4,47,4385
383,2680050,48,43,4363
384,2680430,48,43,4363
385,2680834,48,43,4363
386,2681220,46,52,4375
387,2681619,46,52,4375
388,2682023,46,52,4375
389,2682408,52,53,4378
390,2682799,52,53,4378
391,2683199,60,39,4389
392,2683593,60,39,4389
393,2683996,60,39,4389
394,2684389,35,54,4407
395,2684777,35,54,4407
396,2685170,25,46,4388
397,2685570,25,46,4388
398,2685975,25,46,4388
399,2686368,39,28,4390
400,2686749,39,28,4390
401,2687147,53,20,4400
402,2687540,53,20,4400
403,2687940,53,20,4400
404,2688338,40,25,4387
405,2688731,40,25,4387
406,2689124,40,38,4384
407,2689523,40,38,4384
408,2689909,40,38,4384
409,2690301,22,51,4356
410,2690688,22,51,4356
411,2691088,38,46,4341
412,2691476,38,46,4341
413,2691875,38,46,4341
414,2692268,78,46,4357
415,2692667,78,46,4357
416,2693064,62,61,4363
417,2693460,62,61,4363
418,2693826,62,61,4363
419,2694207,40,53,4373
420,2694583,40,53,4373
421,2694974,40,53,4373
422,2695373,19,62,4391
423,2695753,19,62,4391
424,2696153,-1,49,4382
425,2696562,-1,49,4382
426,2696974,-1,49,4382
427,2697368,6,34,4333
428,2697755,6,34,4333
429,2698148,32,45,4339
430,2698547,32,45,4339
431,2698941,32,45,4339
432,2699344,20,25,4378
433,2699731,20,25,4378
434,2700130,13,33,4375
435,2700525,13,33,4375
436,2700924,13,33,4375
437,2701323,32,55,4349
438,2701717,32,55,4349
439,2702112,17,57,4301
440,2702511,17,57,4301
441,2702899,17,57,4301
442,2703302,16,58,4290
443,2703695,16,58,4290
444,2704094,39,69,4341
445,2704483,39,69,4341
446,2704882,39,69,4341
447,2705276,54,62,4356
448,2705675,54,62,4356
449,2706069,45,59,4335
450,2706463,45,59,4335
451,2706849,45,59,4335
452,2707249,42,60,4378
453,2707643,42,60,4378
454,2708045,70,46,4405
455,2708430,70,46,4405
456,2708833,70,46,4405
457,2709226,68,64,4387
458,2709625,68,64,4387
459,2710014,68,64,4387
460,2710403,59,80,4384
461,2710794,59,80,4384
462,2711201,55,74,4425
463,2711595,55,74,4425
464,2711998,55,74,4425
465,2712385,18,59,4424
466,2712771,18,59,4424
467,2713166,7,60,4356
468,2713568,7,60,4356
469,2713966,7,60,4356
470,2714364,30,46,4359
471,2714745,30,46,4359
472,2715144,54,11,4370
473,2715540,54,11,4370
474,2715942,54,11,4370
475,2716328,34,18,4358
476,2716722,34,18,4358
477,2717111,16,33,4343
478,2717511,16,33,4343
479,2717899,16,33,4343
480,2718301,15,26,4356
481,2718694,15,26,4356
482,2719093,10,39,4378
483,2719481,10,39,4378
484,2719880,10,39,4378
485,2720274,21,37,4374
486,2720672,21,37,4374
487,2721070,40,37,4367
488,2721465,40,37,4367
489,2721852,40,37,4367
490,2722252,19,50,4353
491,2722646,19,50,4353
492,2723048,9,37,4373
493,2723435,9,37,4373
494,2723836,9,37,4373
495,2724230,49,47,4410
496,2724628,49,47,4410
497,2725024,49,63,4351
498,2725417,49,63,4351
499,2725805,49,63,4351
500,2726204,27,61,4350
501,2726597,27,61,4350
502,2726989,27,61,4350
503,2727350,33,59,4373
504,2727711,33,59,4373
505,2728108,44,52,4369
506,2728496,44,52,4369
507,2728897,44,52,4369
508,2729293,51,52,4369
509,2729685,51,52,4369
510,2730075,61,48,4375
511,2730465,61,48,4375
512,2730852,61,48,4375
513,2731251,47,45,4390
514,2731640,47,45,4390
515,2732043,23,66,4387
516,2732422,23,66,4387
517,2732820,23,66,4387
518,2733213,23,55,4418
519,2733612,23,55,4418
520,2734011,23,55,4418
521,2734403,43,40,4415
522,2734793,43,40,4415
523,2735193,42,54,4394
524,2735587,42,54,4394
525,2735997,42,54,4394
526,2736382,41,76,4360
527,2736769,41,76,4360
528,2737162,54,47,4359
529,2737562,54,47,4359
530,2737967,54,47,4359
531,2738360,41,29,4385
532,2738748,41,29,4385
533,2739146,41,61,4393
534,2739540,41,61,4393
535,2739940,41,61,4393
536,2740337,34,33,4385
537,2740730,34,33,4385
538,2741124,3,16,4369
539,2741513,3,16,4369
540,2741893,3,16,4369
541,2742295,-2,16,4367
542,2742692,-2,16,4367
543,2743087,19,27,4356
544,2743475,19,27,4356
545,2743850,19,27,4356
546,2744230,23,49,4334
547,2744614,23,49,4334
548,2745012,23,49,4334
549,2745403,10,38,4334
550,2745793,10,38,4334
551,2746193,23,42,4339
552,2746581,23,42,4339
553,2746985,23,42,4339
554,2747372,24,59,4347
555,2747759,24,59,4347
556,2748147,23,68,4358
557,2748542,23,68,4358
558,2748935,23,68,4358
559,2749339,28,76,4364
560,2749728,28,76,4364
561,2750127,40,69,4353
562,2750515,40,69,4353
563,2750909,40,69,4353
564,2751307,13,71,4342
565,2751707,13,71,4342
566,2752101,28,70,4343
567,2752495,28,70,4343
568,2752888,28,70,4343
569,2753291,83,75,4346
570,2753684,83,75,4346
571,2754083,48,71,4364
572,2754471,48,71,4364
573,2754864,48,71,4364
574,2755254,10,45,4367
575,2755653,10,45,4367
576,2756051,45,32,4379
577,2756437,45,32,4379
578,2756829,45,32,4379
579,2757216,61,30,4401
580,2757610,61,30,4401
581,2758020,61,30,4401
582,2758398,14,19,4404
583,2758787,14,19,4404
584,2759174,9,14,4398
585,2759569,9,14,4398
586,2759966,9,14,4398
587,2760357,39,37,4383
588,2760738,39,37,4383
589,2761105,50,31,4388
590,2761491,50,31,4388
591,2761898,50,31,4388
592,2762281,47,31,4382
593,2762664,47,31,4382
594,2763029,47,31,4382
595,2763391,52,36,4351
596,2763778,52,36,4351
597,2764165,47,22,4381
598,2764566,47,22,4381
599,2764964,47,22,4381
600,2765364,5,28,4346
601,2765751,5,28,4346
602,2766143,3,38,4310
603,2766544,3,38,4310
604,2766936,3,38,4310
605,2767333,13,34,4396
606,2767726,13,34,4396
607,2768119,11,44,4419
608,2768520,11,44,4419
609,2768913,11,44,4419
610,2769316,31,40,4369
611,2769709,31,40,4369
612,2770104,50,18,4346
613,2770493,50,18,4346
614,2770899,50,18,4346
615,2771289,51,35,4331
616,2771686,51,35,4331
617,2772075,25,39,4353
618,2772470,25,39,4353
619,2772850,25,39,4353
620,2773246,22,34,4377
621,2773639,22,34,4377
622,2774041,31,53,4359
623,2774428,31,53,4359
624,2774823,31,53,4359
625,2775216,23,40,4344
626,2775615,23,40,4344
627,2776014,23,40,4344
628,2776406,-7,36,4323
629,2776811,-7,36,4323
630,2777212,17,49,4324
631,2777592,17,49,4324
632,2777991,17,49,4324
633,2778377,43,53,4342
634,2778763,43,53,4342
635,2779157,18,52,4354
636,2779552,18,52,4354
637,2779933,18,52,4354
638,2780338,37,55,4342
639,2780725,37,55,4342
640,2781123,38,65,4330
641,2781518,38,65,4330
642,2781924,38,65,4330
643,2782315,12,54,4384
