sample_index,micros,ax,ay,az
291729,293344029,-40,31,4360
291730,293345028,-44,59,4344
291731,293346028,-45,63,4368
291732,293347029,-54,59,4373
291733,293348029,-55,48,4357
291734,293349029,-53,34,4373
291735,293350028,-49,45,4401
291736,293351028,-27,67,4388
291737,293352029,-53,62,4395
291738,293353029,-59,58,4395
291739,293354029,-47,72,4376
291740,293355029,-46,51,4383
291741,293356029,-27,46,4404
291742,293357029,-20,63,4413
291743,293358029,-33,57,4402
291744,293359029,-65,46,4384
291745,293360029,-64,43,4356
291746,293361029,-48,51,4355
291747,293362028,-47,62,4361
291748,293363028,-44,77,4351
291749,293364028,-41,61,4373
291750,293365029,-37,38,4382
291751,293366029,-25,42,4366
291752,293367028,-26,49,4377
291753,293368029,-44,52,4372
291754,293369029,-50,51,4360
291755,293370029,-48,40,4376
291756,293371029,-46,48,4373
291757,293372029,-65,55,4343
291758,293373029,-80,56,4389
291759,293374029,-80,62,4427
291760,293375028,-69,46,4402
291761,293376028,-69,47,4378
291762,293377028,-86,52,4337
291763,293378029,-63,50,4344
291764,293379028,-54,41,4368
291765,293380029,-64,47,4386
291766,293381029,-45,39,4389
291767,293382029,-31,24,4387
291768,293383029,-30,42,4400
291769,293384028,-32,52,4369
291770,293385029,-41,41,4328
291771,293386029,-53,31,4331
291772,293387028,-55,40,4351
291773,293388029,-47,36,4344
291774,293389029,-26,43,4358
291775,293390029,-23,69,4393
291776,293391029,-57,82,4392
291777,293392028,-65,75,4369
291778,293393028,-59,60,4368
291779,293394029,-57,43,4387
291780,293395029,-50,49,4393
291781,293396029,-45,44,4386
291782,293397029,-50,38,4376
291783,293398029,-43,47,4379
291784,293399028,-26,58,4385
291785,293400029,-36,54,4379
291786,293401029,-38,34,4373
291787,293402029,-30,65,4368
291788,293403028,-42,81,4358
291789,293404029,-63,71,4371
291790,293405029,-62,62,4360
291791,293406029,-47,53,4333
291792,293407028,-35,47,4350
291793,293408029,-45,38,4399
291794,293409029,-62,56,4412
291795,293410029,-53,65,4397
291796,293411029,-50,62,4373
291797,293412029,-57,62,4349
291798,293413029,-58,62,4359
291799,293414029,-55,68,4370
291800,293415029,-53,83,4382
291801,293416029,-50,69,4394
291802,293417028,-56,41,4410
291803,293418028,-43,57,4401
291804,293419028,-19,72,4363
291805,293420029,-27,58,4341
291806,293421029,-36,43,4358
291807,293422028,-37,39,4378
291808,293423029,-43,56,4383
291809,293424029,-39,54,4386
291810,293425029,-39,43,4386
291811,293426029,-62,48,4370
291812,293427029,-74,55,4394
291813,293428029,-79,58,4423
291814,293429029,-85,61,4400
291815,293430028,-66,63,4394
291816,293431029,-54,36,4393
291817,293432029,-59,19,4385
291818,293433029,-73,32,4378
291819,293434029,-65,34,4378
291820,293435029,-55,30,4349
291821,293436029,-74,31,4342
291822,293437029,-62,33,4382
291823,293438028,-56,13,4385
291824,293439028,-43,24,4371
291825,293440029,-60,50,4369
291826,293441029,-80,49,4369
291827,293442029,-55,67,4383
291828,293443029,-46,79,4391
291829,293444029,-41,76,4379
291830,293445029,-30,73,4390
291831,293446029,-31,56,4409
291832,293447029,-43,60,4394
291833,293448029,-35,75,4389
291834,293449028,-23,67,4369
291835,293450029,-34,61,4342
291836,293451029,-37,51,4360
291837,293452029,-27,44,4358
291838,293453028,-41,61,4372
291839,293454029,-52,70,4391
291840,293455028,-62,60,4376
291841,293456029,-79,55,4367
291842,293457028,-62,49,4358
291843,293458029,-40,75,4396
291844,293459029,-43,86,4403
291845,293460029,-37,69,4386
291846,293461028,-38,69,4398
291847,293462028,-53,79,4376
291848,293463028,-79,75,4361
291849,293464029,-93,50,4385
291850,293465029,-71,47,4412
291851,293466029,-66,48,4392
291852,293467028,-52,45,4393
291853,293468029,-38,54,4409
291854,293469029,-51,57,4396
291855,293470029,-52,53,4403
291856,293471029,-49,49,4404
291857,293472028,-48,48,4368
291858,293473029,-47,43,4361
291859,293474029,-46,48,4359
291860,293475029,-48,57,4350
291861,293476029,-56,60,4367
291862,293477029,-56,59,4352
291863,293478028,-51,57,4355
291864,293479029,-47,53,4360
291865,293480029,-69,43,4350
291866,293481029,-74,46,4369
291867,293482029,-55,40,4381
291868,293483029,-67,29,4369
291869,293484028,-66,42,4379
291870,293485028,-65,48,4383
291871,293486029,-81,57,4392
291872,293487029,-86,71,4373
291873,293488029,-72,56,4342
291874,293489029,-65,50,4386
291875,293490029,-56,56,4380
291876,293491029,-63,51,4339
291877,293492029,-63,51,4348
291878,293493029,-42,46,4385
291879,293494029,-34,55,4412
291880,293495028,-50,68,4374
291881,293496028,-56,55,4342
291882,293497029,-49,54,4335
291883,293498028,-59,55,4325
291884,293499029,-49,56,4339
291885,293500029,-43,78,4343
291886,293501029,-41,80,4371
291887,293502029,-35,63,4374
291888,293503029,-37,54,4371
291889,293504029,-45,56,4384
291890,293505029,-48,45,4365
291891,293506028,-41,45,4359
291892,293507029,-38,59,4366
291893,293508029,-23,51,4378
291894,293509029,-26,73,4372
291895,293510029,-36,88,4386
291896,293511029,-22,59,4385
291897,293512028,-31,55,4359
291898,293513029,-44,53,4383
291899,293514028,-43,38,4389
291900,293515029,-39,37,4393
291901,293516029,-55,37,4394
291902,293517029,-54,45,4383
291903,293518029,-53,59,4377
291904,293519028,-54,60,4370
291905,293520029,-42,60,4361
291906,293521028,-41,60,4357
291907,293522029,-50,49,4359
291908,293523029,-57,45,4370
291909,293524028,-42,50,4398
291910,293525029,-32,54,4419
291911,293526029,-32,46,4387
291912,293527029,-20,35,4383
291913,293528028,-17,42,4397
291914,293529028,-37,52,4387
291915,293530028,-53,51,4358
291916,293531028,-58,57,4336
291917,293532029,-70,60,4364
291918,293533028,-66,55,4352
291919,293534028,-42,59,4356
291920,293535029,-22,64,4389
291921,293536029,-19,54,4384
291922,293537028,-36,49,4391
291923,293538029,-62,64,4377
291924,293539028,-69,63,4355
291925,293540029,-57,54,4365
291926,293541029,-50,68,4342
291927,293542028,-46,67,4358
291928,293543029,-41,53,4390
291929,293544028,-40,59,4383
291930,293545029,-57,70,4378
291931,293546028,-51,61,4388
291932,293547029,-28,63,4364
291933,293548029,-33,81,4353
291934,293549029,-36,63,4368
291935,293550029,-43,54,4370
291936,293551029,-57,63,4382
291937,293552029,-53,43,4385
291938,293553029,-56,35,4381
291939,293554029,-66,53,4380
291940,293555029,-55,56,4384
291941,293556029,-57,61,4386
291942,293557029,-57,67,4396
291943,293558029,-49,66,4399
291944,293559029,-72,82,4388
291945,293560028,-66,81,4374
291946,293561028,-48,66,4367
291947,293562029,-48,56,4376
291948,293563029,-56,61,4395
291949,293564028,-56,57,4388
291950,293565029,-33,45,4379
291951,293566028,-43,50,4356
291952,293567029,-50,59,4331
291953,293568028,-35,62,4349
291954,293569029,-36,62,4364
291955,293570029,-45,60,4380
291956,293571029,-64,46,4389
291957,293572029,-55,35,4345
291958,293573029,-31,51,4342
291959,293574029,-32,59,4362
291960,293575029,-56,42,4340
291961,293576029,-72,32,4358
291962,293577029,-68,28,4362
291963,293578028,-63,60,4381
291964,293579029,-63,76,4379
291965,293580028,-71,65,4325
291966,293581029,-62,62,4331
291967,293582029,-56,46,4378
291968,293583029,-62,46,4385
291969,293584029,-67,69,4386
291970,293585029,-70,73,4391
291971,293586028,-57,50,4383
291972,293587029,-42,43,4370
291973,293588029,-33,60,4381
291974,293589029,-52,70,4390
291975,293590029,-54,53,4373
291976,293591029,-37,47,4410
291977,293592029,-36,59,4402
291978,293593028,-66,52,4371
291979,293594029,-76,61,4393
