row,seconds,esp32_index,micros,v0,v1
152,29.974311,214,29974128,-196,71,4381
153,29.974713,215,29974530,-196,71,4381
154,29.975120,216,29974937,-196,71,4381
155,29.975506,217,29975323,-221,77,4386
156,29.975902,218,29975719,-221,77,4386
157,29.976304,219,29976121,-200,96,4430
158,29.976699,220,29976516,-200,96,4430
159,29.977112,221,29976929,-200,96,4430
160,29.977514,222,29977331,-187,92,4441
161,29.977910,223,29977727,-187,92,4441
162,29.978311,224,29978128,-190,71,4407
163,29.978713,225,29978530,-190,71,4407
164,29.979120,226,29978937,-190,71,4407
165,29.979514,227,29979331,-172,62,4372
166,29.979909,228,29979726,-172,62,4372
167,29.980318,229,29980135,-183,62,4346
168,29.980722,230,29980539,-183,62,4346
169,29.981113,231,29980930,-183,62,4346
170,29.981519,232,29981336,-195,76,4354
171,29.981908,233,29981725,-195,76,4354
172,29.982316,234,29982133,-182,96,4358
173,29.982713,235,29982530,-182,96,4358
174,29.983127,236,29982944,-182,96,4358
175,29.983530,237,29983347,-205,75,4363
176,29.983926,238,29983743,-205,75,4363
177,29.984328,239,29984145,-231,64,4388
178,29.984732,240,29984549,-231,64,4388
179,29.985138,241,29984955,-231,64,4388
180,29.985531,242,29985348,-201,59,4363
181,29.985928,243,29985745,-201,59,4363
182,29.986312,244,29986129,-172,65,4374
183,29.986715,245,29986532,-172,65,4374
184,29.987121,246,29986938,-172,65,4374
185,29.987517,247,29987334,-181,92,4417
186,29.987913,248,29987730,-181,92,4417
187,29.988317,249,29988134,-211,81,4377
188,29.988719,250,29988536,-211,81,4377
189,29.989120,251,29988937,-211,81,4377
190,29.989529,252,29989346,-222,74,4353
191,29.989936,253,29989753,-222,74,4353
192,29.990359,254,29990176,-202,92,4369
193,29.990782,255,29990599,-202,92,4369
194,29.991204,256,29991021,-202,92,4369
195,29.991614,257,29991431,-184,83,4374
196,29.992028,258,29991845,-184,83,4374
197,29.992447,259,29992264,-184,74,4346
198,29.992864,260,29992681,-184,74,4346
199,29.993279,261,29993096,-210,94,4344
200,29.993677,262,29993494,-210,94,4344
201,29.994087,263,29993904,-210,94,4344
202,29.994494,264,29994311,-207,104,4355
203,29.994896,265,29994713,-207,104,4355
204,29.995290,266,29995107,-186,88,4359
205,29.995688,267,29995505,-186,88,4359
206,29.996085,268,29995902,-186,88,4359
207,29.996486,269,29996303,-207,88,4382
208,29.996881,270,29996698,-207,88,4382
209,29.997276,271,29997093,-222,86,4379
210,29.997680,272,29997497,-222,86,4379
211,29.998076,273,29997893,-222,86,4379
212,29.998487,274,29998304,-201,56,4349
213,29.998882,275,29998699,-201,56,4349
214,29.999283,276,29999100,-199,47,4353
215,29.999688,277,29999505,-199,47,4353
216,30.000098,278,29999915,-199,47,4353
217,30.000499,279,30000316,-219,71,4372
218,30.000902,280,30000719,-219,71,4372
219,30.001297,281,30001114,-182,89,4347
220,30.001699,282,30001516,-182,89,4347
221,30.002109,283,30001926,-182,89,4347
222,30.002505,284,30002322,-187,80,4338
223,30.002881,285,30002698,-187,80,4338
224,30.003270,286,30003087,-188,64,4340
225,30.003661,287,30003478,-188,64,4340
226,30.004070,288,30003887,-188,64,4340
227,30.004476,289,30004293,-176,58,4384
228,30.004878,290,30004695,-176,58,4384
229,30.005270,291,30005087,-214,70,4407
230,30.005654,292,30005471,-214,70,4407
231,30.006055,293,30005872,-214,70,4407
232,30.006460,294,30006277,-211,70,4353
233,30.006861,295,30006678,-211,70,4353
234,30.007262,296,30007079,-187,66,4354
235,30.007661,297,30007478,-187,66,4354
236,30.008057,298,30007874,-187,66,4354
237,30.008470,299,30008287,-209,67,4374
238,30.008864,300,30008681,-209,67,4374
239,30.009266,301,30009083,-219,72,4375
240,30.009662,302,30009479,-219,72,4375
241,30.010063,303,30009880,-219,72,4375
242,30.010470,304,30010287,-182,74,4383
243,30.010878,305,30010695,-182,74,4383
244,30.011272,306,30011089,-210,71,4378
245,30.011676,307,30011493,-210,71,4378
246,30.012071,308,30011888,-210,71,4378
247,30.012477,309,30012294,-209,72,4343
248,30.012873,310,30012690,-209,72,4343
249,30.013268,311,30013085,-197,74,4322
250,30.013653,312,30013470,-197,74,4322
251,30.014049,313,30013866,-197,74,4322
252,30.014450,314,30014267,-211,87,4332
253,30.014854,315,30014671,-211,87,4332
254,30.015249,316,30015066,-185,80,4333
255,30.015645,317,30015462,-185,80,4333
256,30.016042,318,30015859,-185,80,4333
257,30.016455,319,30016272,-181,67,4338
258,30.016857,320,30016674,-181,67,4338
259,30.017258,321,30017075,-184,65,4346
260,30.017651,322,30017468,-184,65,4346
261,30.018054,323,30017871,-184,65,4346
262,30.018454,324,30018271,-201,70,4369
263,30.018857,325,30018674,-201,70,4369
264,30.019252,326,30019069,-201,70,4369
265,30.019622,327,30019439,-225,79,4361
266,30.020022,328,30019839,-225,79,4361
267,30.020430,329,30020247,-207,71,4336
