sample_index,micros,ax,ay,az
27935,61827838,-30139,-794,2512
27936,61828249,-30139,-794,2512
27937,61828666,-30139,-794,2512
27938,61829093,-3943,-203,5608
27939,61829503,-3943,-203,5608
27940,61829911,4112,-681,9204
27941,61830317,4112,-681,9204
27942,61830714,4112,-681,9204
27943,61831109,-5111,-1269,5817
27944,61831520,-5111,-1269,5817
27945,61831917,-2414,-1361,5742
27946,61832348,-2414,-1361,5742
27947,61832760,2805,-44,6051
27948,61833173,2805,-44,6051
27949,61833577,2805,-44,6051
27950,61833984,2899,44,3151
27951,61834372,2899,44,3151
27952,61834774,2475,-603,3585
27953,61835184,2475,-603,3585
27954,61835594,2475,-603,3585
27955,61835995,3952,-335,6312
27956,61836410,3952,-335,6312
27957,61836814,708,-346,6703
27958,61837217,708,-346,6703
27959,61837620,708,-346,6703
27960,61838033,-2069,-908,4176
27961,61838444,-2069,-908,4176
27962,61838863,1010,-1204,3086
27963,61839255,1010,-1204,3086
27964,61839662,1010,-1204,3086
27965,61840071,3568,-316,3626
27966,61840475,3568,-316,3626
27967,61840871,7957,560,3035
27968,61841260,7957,560,3035
27969,61841655,7957,560,3035
27970,61842061,8773,837,1193
27971,61842460,8773,837,1193
27972,61842861,5893,819,614
27973,61843243,5893,819,614
27974,61843644,5893,819,614
27975,61844050,4278,758,2699
27976,61844443,4278,758,2699
27977,61844839,2680,963,6455
27978,61845235,2680,963,6455
27979,61845631,2680,963,6455
27980,61846034,3317,1090,8404
27981,61846430,3317,1090,8404
27982,61846831,2753,650,7396
27983,61847215,2753,650,7396
27984,61847616,2753,650,7396
27985,61848015,-2708,328,6646
27986,61848424,-2708,328,6646
27987,61848834,-6278,735,6452
27988,61849230,-6278,735,6452
27989,61849633,-6278,735,6452
27990,61850055,-6339,1395,6307
27991,61850437,-6339,1395,6307
27992,61850840,-5466,1766,6556
27993,61851238,-5466,1766,6556
27994,61851648,-5466,1766,6556
27995,61852054,-7578,1659,5923
27996,61852464,-7578,1659,5923
27997,61852859,-9353,1479,4988
27998,61853264,-9353,1479,4988
27999,61853666,-9353,1479,4988
28000,61854080,-10786,1072,5555
